Computer Name,Operating System,Model,Serial Number
EEB-F5DBGY3,Windows 11,XPS 15 9530,F5DBGY3
EEB-F9WH2H2,Windows 10,XPS 13 9360,F9WH2H2
EEB-FY5VQJ3,Windows 11,OptiPlex 5090,FY5VQJ3
EEB-GTQ21J3,Windows 11,Latitude 5420,GTQ21J3
eeb-gwkfolio,Windows 10,EliteBook Folio G1,5CG6230Z4S
EEB-GYFL2N3,Windows 11,Precision 5820 Tower,GYFL2N3
EEB-GZMTZW2,Windows 10,Precision 7730,GZMTZW2
EEB-HRZ22N3,Windows 11,OptiPlex 5090,HRZ22N3
EEB-HY0G5S3,Windows 11,Precision 3660 Tower,HY0G5S3
EEB-J1173J3,Windows 11,Latitude 5420,J1173J3
EEB-J8T3MN2,Windows 10,OptiPlex 7050,J8T3MN2
EEB-J9ZYLN3,Windows 10,Latitude 5420,J9ZYLN3
EEB-JBC60C3,Windows 11,Precision 5820 Tower,JBC60C3
EEB-JDDRGK3,Windows 11,XPS 13 9310,JDDRGK3
EEB-JDL21J3,Windows 11,Latitude 5420,JDL21J3
EEB-JR9FQV3,Windows 11,,
EEB-L1HF33F00JK,Windows 10,,
EEB-MXL7312N3M,Windows 10,ProDesk 600 G3 SFF,MXL7312N3M
EEB-MXL7312N43,Windows 10,ProDesk 600 G3 SFF,MXL7312N43
EEB-MXL8060V7S,Windows 10,ProDesk 600 G3 MT,MXL8060V7S
EEB-MXL8521XHT,Windows 11,Z2 Tower G4 Workstation,MXL8521XHT
EEB-MXL917P76,Windows 11,ProDesk 600 G4 SFF,MXL9171P76
EEB-MXL921247N,Windows 11,,
EEB-MXL9243RBP,Windows 11,Z4 G4 Workstation,MXL9243RBP
EEB-MXL9292XPV,Windows 11,Z4 G4 Workstation,MXL9292XPV
EEB-MXL9333JJD,Windows 11,ProDesk 600 G4 SFF,MXL9333JJD
EEB-MXL9364SM7,Windows 10,ProDesk 600 G4 SFF,MXL9364SM7
eeb-N6X5327H6Hv,Windows 11,Parallels Virtual Platform,
EEB-TYJAMESLAB,Windows Server 2016 Datacenter,Virtual Machine,NONE
HERB-2UA3180VF6,Windows 10,,
HERB-2UA4290QX8,Windows 10,ProDesk 600 G1 SFF,2UA4290QX8
HERB-2UA5232GW4,Windows 10,ProDesk 600 G1 SFF,2UA5232GW4
HERB-2UA5232GW6,Windows 10,ProDesk 600 G1 SFF,2UA5232GW6
HERB-2UA6091FRN,Windows 10,ProDesk 600 G2 SFF,2UA6091FRN
HERB-2UA6291RNZ,Windows 10,,
HERB-2UA6382GYF,Windows 10,ProDesk 600 G2 SFF,2UA6382GYF
HERB-32SJLS1,Windows 10,,
HERB-37TYYS3,Windows 11,OptiPlex 5000,37TYYS3
HERB-47TYYS3,Windows 11,OptiPlex 5000,47TYYS3
HERB-4VK52N3,Windows 11,OptiPlex 5090,4VK52N3
HERB-5CG9107H7N,Windows 11,EliteBook 840 G5,5CG9107H7N
HERB-HRV0FZ3,Windows 11,OptiPlex SFF Plus 7010,HRV0FZ3
HERB-JRV0FZ3,Windows 11,OptiPlex SFF Plus 7010,JRV0FZ3
HERB-MXL9131JR1,Windows 11,Z2 Tower G4 Workstation,MXL9131JR1
HERB-MXL9142S4F,Windows 11,ProDesk 600 G4 SFF,MXL9142S4F
HERB-MXL9151SJH,Windows 11,ProDesk 600 G4 SFF,MXL9151SJH
HERB-MXL91551P8,Windows 11,ProDesk 600 G4 SFF,MXL91551P8
HERB-MXL9155202,Windows 11,ProDesk 600 G4 SFF,MXL9155202
HERB-MXL9155203,Windows 11,ProDesk 600 G4 SFF,MXL9155203
HERB-MXL9192465,Windows 11,Z2 Tower G4 Workstation,MXL9192465
HERB-MXL9192467,Windows 11,Z2 Tower G4 Workstation,MXL9192467
HERB-MXL9192468,Windows 11,Z2 Tower G4 Workstation,MXL9192468
HERB-RANGELOAN,Windows 10,,
L-00065828,Windows 10,Surface Studio 2,658285158
L-1B9JQV3,Windows 11,Latitude 5440,1B9JQV3
L-1BBRDK3,Windows 11,Latitude 5430,1BBRDK3
L-1JX0BY3,Windows 11,Latitude 5440,1JX0BY3
L-1L2M3T3,Windows 11,Latitude 9430,1L2M3T3
L-1TZHQV3,Windows 11,Latitude 5440,1TZHQV3
L-2KL7GK3,Windows 11,Latitude 5430,2KL7GK3
L-2RZHQV3,Windows 11,Latitude 5440,2RZHQV3
L-2X9SFK3,Windows 11,Latitude 5430,2X9SFK3
L-3MXNGK3,Windows 11,Latitude 5430,3MXNGK3
L-3ZZG6J3,Windows 11,Latitude 5420,3ZZG6J3
L-460K1T3,Windows 11,Latitude 5430,460K1T3
L-5RL7GK3,Windows 11,Latitude 5430,5RL7GK3
L-63DH6J3,Windows 11,Latitude 5420,63DH6J3
L-6877GK3,Windows 11,Latitude 5430,6877GK3
L-6R3H6J3,Windows 11,Latitude 5420,6R3H6J3
L-77SSDY3,Windows 11,Latitude 5440,77SSDY3
L-7NZHQV3,Windows 11,Latitude 5440,7NZHQV3
L-7VZHQV3,Windows 11,Latitude 5440,7VZHQV3
L-8C72WV3,Windows 11,Latitude 5430,8C72WV3
L-928SSV3,Windows 11,Latitude 5440,928SSV3
L-9FM7GK3,Windows 11,Latitude 5430,9FM7GK3
L-9KWHQV3,Windows 11,Latitude 5440,9KWHQV3
L-9NRVVV3,Windows 11,Latitude 5430,9NRVVV3
