Computer Name,Operating System,Model,Serial Number
PSYC-31FTJR3,Windows 10,Latitude 5430,31FTJR3
PSYC-32FTJR3,Windows 10,Latitude 5430,32FTJR3
PSYC-3332A-17,Windows 10,Compaq Pro 6300 SFF,2UA3270RG7
PSYC-33KH6J3,Windows 11,Latitude 5420,33KH6J3
PSYC-3425-01,Windows 10,ProDesk 600 G1 SFF,2UA4281NFD
PSYC-3425-02,Windows 10,ProDesk 600 G1 SFF,2UA4281NFJ
PSYC-3425-05,Windows 10,ProDesk 600 G1 SFF,2UA4281NF7
PSYC-3425-06,Windows 10,ProDesk 600 G1 SFF,2UA4281NF5
PSYC-3425-07,Windows 10,ProDesk 600 G1 SFF,2UA4281NFC
PSYC-3425-08,Windows 10,ProDesk 600 G1 SFF,2UA4281NF9
PSYC-3425-09,Windows 10,ProDesk 600 G1 SFF,2UA4281NFG
PSYC-44FTJR3,Windows 10,Latitude 5430,44FTJR3
PSYC-6WKJ1T3,Windows 11,Latitude 5430,6WKJ1T3
PSYC-7XWSYS3,Windows 10,Precision 3460 SFF,7XWSYS3
PSYC-975SJR3,Windows 10,Latitude 5430,975SJR3
PSYC-ABELTZ01,Windows 10,Z240 SFF Workstation,2UA6241ZR9
PSYC-ABELTZ03,Windows 10,ProDesk 600 G2 SFF,2UA6242B0W
PSYC-ABELTZ04,Windows 10,ProDesk 600 G2 SFF,2UA6242B34
PSYC-ABELTZ05,Windows 10,Z240 SFF Workstation,2UA6331G9B
PSYC-ABELTZ07,Windows 10,EliteBook 840 G3,5CG7254YL1
PSYC-ABELTZ09,Windows 10,ProDesk 600 G3 SFF,MXL8171CL9
PSYC-ABELTZ13,Windows 10,Z2 Tower G4 Workstation,MXL9432HML
PSYC-ABELTZ14,Windows 10,,
PSYC-ABELTZ15,Windows 11,ZBook Studio G5 Mobile Workstation,5CD01142D8
PSYC-ABELTZ16,Windows 11,ZBook Studio G5 Mobile Workstation,5CD011658K
PSYC-ADAE01,Windows 10,Z240 SFF Workstation,2UA72821RV
PSYC-ADAE02,Windows 10,ProDesk 600 G3 SFF,MXL7312NTM
PSYC-ADAE03,Windows 10,Z240 Tower Workstation,2UA74524W1
PSYC-ADAE04,Windows 10,Z240 Tower Workstation,2UA7462BMN
PSYC-ADAE05,Windows 10,Z240 SFF Workstation,2UA7481HVK
PSYC-ADAE06,Windows 10,EliteDesk 800 G3 Tower,2UA75121Q6
PSYC-ADAE07,Windows 10,ProBook 640 G2,5CG8201S91
PSYC-ADAE09,Windows 10,EliteDesk 800 G1 USDT,2UA4230Y6G
PSYC-ADAE10,Windows 10,Elitedesk 800 G4 SFF,MXL9134CGJ
PSYC-ADAE11,Windows 10,ProDesk 600 G4 SFF,MXL9253RKC
PSYC-ADAE12,Windows 10,ProDesk 600 G4 SFF,MXL930452K
PSYC-ADAE13,Windows 10,Z4 G4 Workstation,MXL0021WFR
PSYC-ADAE14,Windows 10,,DEFAULT STRING
PSYC-ADAE15,Windows 10,Latitude 5420,34JZ4M3
PSYC-ADAE16,Windows 10,OptiPlex 5000,HKQ7KQ3
psyc-adae18,Windows 10,Z2 Tower G5 Workstation,CZC14884PC
PSYC-ADAE19,Windows 11,Precision 3660 Tower,3X91XX3
PSYC-ADAE20,Windows 11,OptiPlex Tower Plus 7010,F3YY7Y3
PSYC-ADAE21,Windows 11,Precision 3660 Tower,J2CDDZ3
PSYC-AFARERO01,Windows 10,Precision 3450 SFF,H0J03L3
PSYC-AGEARHAR10,Windows 10,Z240 SFF Workstation,2UA8491K9F
PSYC-AGEARHAR13,Windows 10,ProDesk 600 G2 SFF,2UA6233BN5
PSYC-AGEARHAR16,Windows 10,EliteBook 840 G6,2TK9490QZB
PSYC-AGEARHAR17,Windows 11,Latitude 5430,466ZSQ3
PSYC-AGEARHAR18,Windows 10,Precision 5820 Tower,2XCYCX3
PSYC-AGEARHAR19,Windows 11,Latitude 5540,CNR4JS3
PSYC-AGEARHAR20,Windows 11,Latitude 5540,BJ5NJS3
PSYC-AGEARHAR21,Windows 11,Latitude 5540,7J5NJS3
PSYC-AGEARHAR22,Windows 11,Latitude 7640,2SXHFY3
psyc-amiemg01,Windows 10,Elite Dragonfly,5CG014627L
psyc-amiemg02,Windows 10,EliteBook 840 G6,5CG0306F9N
psyc-amiemg04,Windows 10,EliteBook 840 G6,5CG0306F9P
psyc-amiemg05,Windows 10,Z2 Tower G4 Workstation,MXL03029FG
psyc-amiemg06,Windows 10,ProDesk 600 G5 SFF,MXL041522L
psyc-amiemg07,Windows 10,ProDesk 600 G5 SFF,MXL041522M
PSYC-AMIEMG09,Windows 10,Precision 3450 SFF,939Z2L3
PSYC-AMIEMG10,Windows 10,Precision 3450 SFF,439Z2L3
PSYC-AMIEMG11,Windows 11,Precision 3460 SFF,GPKGYS3
psyc-andrasm01,Windows 11,Latitude 9440,532WFY3
PSYC-ANEARL09,Windows 10,ProDesk 600 G1 SFF,2UA4281NFB
PSYC-ANEARL11,Windows 11,Aspire E5-575G,CHASSIS SERIAL NUMBER
PSYC-ARNOLDHO04,Windows 10,ProDesk 600 G1 SFF,2UA4370ZXT
PSYC-ARNOLDHO05,Windows 10,ProDesk 600 G1 SFF,2UA4370ZXX
PSYC-ARNOLDHO06,Windows 10,ProDesk 600 G1 SFF,2UA4370ZXS
PSYC-ARNOLDHO07,Windows 10,ProDesk 600 G1 SFF,2UA4370ZXV
PSYC-ARNOLDHO12,Windows 10,Precision 5570,18GQCY3
PSYC-ARNOLDHO13,Windows 11,Precision 7670,511B804
PSYC-B262-04,Windows 11,ProDesk 400 G5 SFF,MXL9123G2W
PSYC-B262-05,Windows 11,OptiPlex 5000,DQ49PR3
PSYC-B268-01,Windows 10,OptiPlex 5000,92NT9R3
PSYC-BARNETTJ03,Windows 11,Latitude 9410,GRZLZD3
PSYC-BD773J3,Windows 11,,
psyc-berrdata02,Windows Server 2019,PowerEdge R740XD,9RCYNX2
PSYC-BERRIDGE01,Windows 10,Precision 5820 Tower,31PR1G3
psyc-berridge03,Windows 10,Z420 Workstation,2UA52318D3
PSYC-BERRIDGE04,Windows 10,OptiPlex 5090,45501M3
PSYC-BERRIDGE05,Windows 10,OptiPlex 5090,55501M3
PSYC-BERRIDGE06,Windows 10,OptiPlex 5090,J1201M3
psyc-berridge07,Windows 10,Z4 G4 Workstation,CZC2077DRH
PSYC-BERRIDGE09,Windows 10,OptiPlex 5000,82VFCW3
PSYC-BERRIDGE10,Windows 10,OptiPlex 5000,92VFCW3
PSYC-BERRIDGE11,Windows 10,OptiPlex 5000,B2VFCW3
PSYC-BERRIDGE12,Windows 10,OptiPlex 5000,C2VFCW3
PSYC-BERRIDGE13,Windows 10,OptiPlex 5000,D2VFCW3
PSYC-BERRIDGE36,Windows 10,ProDesk 600 G1 SFF,2UA4240L74
PSYC-BERRIDGE44,Windows 10,Z440 Workstation,2UA6031FHY
PSYC-BERRIDGE45,Windows 10,ProDesk 600 G1 SFF,2UA6032D6N
PSYC-BERRIDGE49,Windows 10,Z240 Tower Workstation,2UA7192TXX
PSYC-BERRIDGE51,Windows 10,Precision 5820 Tower,31NQ1G3
PSYC-BERRIDGE52,Windows 10,Precision 5820 Tower,31NP1G3
PSYC-BOEHR02,Windows 11,Latitude 5410,H7BK163
PSYC-BUVINGER02,Windows 10,EliteBook 840 G6,5CG9445124
PSYC-BUVINGER03,Windows 11,Latitude 5440,7HHXCY3
psyc-clustig01,Windows 11,Latitude 5420,79YCMN3
PSYC-CLUSTIG36,Windows 10,ProDesk 600 G4 SFF,MXL915524S
psyc-clustig37,Windows 10,ProDesk 600 G4 SFF,MXL915524T
PSYC-CLUSTIG38,Windows 10,ProDesk 600 G4 SFF,MXL9155280
PSYC-CLUSTIG40,Windows 10,OptiPlex 5000,8RGV7V3
PSYC-CLUSTIG41,Windows 10,OptiPlex 5000,CRGV7V3
PSYC-CLUSTIG42,Windows 10,OptiPlex 5000,9RGV7V3
PSYC-CLUSTIG43,Windows 10,OptiPlex 5000,BRGV7V3
PSYC-CLUSTIG44,Windows 10,OptiPlex SFF Plus 7010,8BG4DX3
PSYC-CLUSTIG46,Windows 10,OptiPlex SFF Plus 7010,7BG4DX3
PSYC-CONLEYT03,Windows 11,Latitude 5540,G3R35Y3
PSYC-CONLEYT13,Windows 10,EliteBook x360 1030 G3,5CD9379M14
PSYC-CONLEYT14,Windows 10,Latitude 5420,79XG1J3
PSYC-CONLEYT15,Windows 11,OptiPlex SFF 7010,7BFPNZ3
PSYC-CONLEYT16,Windows 11,OptiPlex SFF 7010,8BFPNZ3
PSYC-CONLEYT17,Windows 11,OptiPlex SFF 7010,9BFPNZ3
psyc-crseijas01,Windows 11,ZBook Studio G5 Mobile Workstation,5CD02945DB
psyc-crseijas02,Windows 10,Elite x2 G4 Tablet,CND02576S4
PSYC-CRSEIJAS03,Windows 10,Precision 5820 Tower,2X2LNF3
PSYC-CRSEIJAS05,Windows 10,OptiPlex 5000,DBGW5X3
PSYC-CRSEIJAS06,Windows 10,OptiPlex 5000,FBGW5X3
PSYC-CS2WVV3,Windows 11,Latitude 5430,CS2WVV3
PSYC-CSBYC28,Windows 10,Z240 Tower Workstation,2UA72430S2
PSYC-CSBYC31,Windows 10,Z240 Tower Workstation,2UA72430S3
PSYC-CSBYC-ZB01,Windows 10,ZBook 15 G4,CND7349MR8
PSYC-CSBYC-ZB06,Windows 10,ZBook 15 G4,CND7241JQZ
PSYC-CSBYC-ZB07,Windows 10,ZBook 15 G4,CND7241JR0
PSYC-CSBYC-ZB08,Windows 10,ZBook 15 G4,CND7241JR1
PSYC-CSMONK03,Windows 10,ProDesk 600 G4 SFF,MXL9292T0G
PSYC-CSMONK04,Windows 10,ProDesk 600 G4 SFF,MXL9283G0K
PSYC-CSMONK05,Windows 10,ProDesk 600 G4 SFF,MXL9283G0J
PSYC-CSMONK14,Windows 10,EliteBook 840 G6,5CG9388YXQ
PSYC-CSMONK15,Windows 10,EliteBook 840 G6,5CG9388YXC
PSYC-CSMONK16,Windows 10,,
PSYC-CSMONK17,Windows 10,Surface Pro 6,25332692953
PSYC-CSMONK18,Windows 10,Z2 Tower G4 Workstation,MXL0101QM1
PSYC-CSMONK21,Windows 10,ProDesk 600 G1 SFF,2UA4201ZZX
PSYC-CSMONK22,Windows 10,EliteDesk 800 G1 USDT,2UA4230Y7L
PSYC-CSMONK23,Windows 11,Latitude 5440,3KBSBY3
PSYC-CSMONK24,Windows 11,Latitude 5440,HGBSBY3
PSYC-D99H6J3,Windows 11,Latitude 5420,D99H6J3
PSYC-DANTZER04,Windows 10,EliteDesk 800 G1 USDT,2UA6070PF9
PSYC-DANTZER07,Windows 10,EliteDesk 800 G1 USDT,2UA4230Y8S
PSYC-DANWEISS23,Windows 10,ProDesk 600 G3 MT,MXL7351Q34
PSYC-DANWEISS24,Windows 10,ProDesk 600 G3 MT,MXL8051LJ0
PSYC-DANWEISS25,Windows 10,ProDesk 600 G3 MT,MXL812110Z
PSYC-DANWEISS26,Windows 10,ProDesk 600 G3 SFF,MXL81317QQ
PSYC-DANWEISS27,Windows 10,ProDesk 600 G3 SFF,MXL81317QR
PSYC-DANWEISS28,Windows 10,Precision 5550,2TZVYD3
PSYC-DENTKR01,Windows 11,Latitude 5530,FBLLPL3
PSYC-DGWINTER04,Windows 10,ProBook 640 G2,5CG6316CSP
PSYC-DGWINTER07,Windows 10,,
PSYC-DJBRANG01,Windows 10,,DEFAULT STRING
PSYC-DJBRANG02,Windows 10,,DEFAULT STRING
PSYC-DJBRANG03,Windows 10,,
PSYC-DJBRANG04,Windows 10,OMEN 870-130VX,
PSYC-DJBRANG06,Windows 10,OMEN 870-120st,
PSYC-DJBRANG13,Windows 10,ProDesk 600 G4 SFF,MXL9432C3X
PSYC-DRIVAS15,Windows 10,Z4 G4 Workstation,MXL94527Q1
PSYC-DSEKAQUA17,Windows 11,OptiPlex SFF Plus 7010,10NR2Z3
PSYC-DXKJ1T3,Windows 11,Latitude 5430,DXKJ1T3
psyc-ekross01,Windows 10,Compaq Pro 6300 SFF,2UA3080CB9
PSYC-EKROSS08,Windows 10,Compaq 6200 Pro SFF,2UA22517Q1
PSYC-EKROSS23,Windows 10,Compaq Pro 6300 SFF,2UA3270RG9
PSYC-EKROSS26,Windows 10,Compaq Pro 6300 SFF,2UA3100S71
PSYC-EKROSS28,Windows 10,Compaq Pro 6300 SFF,2UA3121573
PSYC-EKROSS30,Windows 10,Compaq Pro 6300 SFF,2UA3270RGH
PSYC-EKROSS31,Windows 10,Compaq Pro 6300 SFF,2UA3270RGJ
PSYC-EKROSS33,Windows 10,Z220 SFF Workstation,2UA336110S
PSYC-EKROSS34,Windows 10,ProDesk 600 G1 SFF,2UA5461C6M
psyc-fryberg03,Windows 10,OptiPlex 5090,8993RJ3
psyc-fryberg04,Windows 10,OptiPlex 5090,7993RJ3
psyc-fryberg05,Windows 10,OptiPlex 5090,6993RJ3
psyc-fryberg06,Windows 10,OptiPlex 5090,5993RJ3
psyc-fryberg07,Windows 10,OptiPlex 5090,4993RJ3
psyc-fryberg08,Windows 10,OptiPlex 5090,9993RJ3
PSYC-GID01,Windows 10,ProDesk 600 G2 SFF,2UA7242VNJ
PSYC-GID02,Windows 10,Z440 Workstation,2UA7252905
PSYC-GID03,Windows 10,Z440 Workstation,2UA7252906
PSYC-GID04,Windows 10,Z440 Workstation,2UA7252907
PSYC-GID05,Windows 10,Z440 Workstation,2UA7252908
PSYC-GID07,Windows 10,,
PSYC-GID08,Windows 10,ProDesk 600 G4 SFF,2UA8451X4X
PSYC-GID09,Windows 10,ProDesk 600 G4 SFF,MXL9111RTM
PSYC-GID10,Windows 10,EliteBook 840 G5,5CG9130535
psyc-gid11,Windows 10,Z4 G4 Workstation,MXL9311R1Y
psyc-gid13,Windows 10,,DEFAULT STRING
PSYC-GID14,Windows 10,,DEFAULT STRING
psyc-gid15,Windows 10,,TO BE FILLED BY O.E.M.
PSYC-GID17,Windows 10,Latitude 9420,8RKD6M3
PSYC-GID18,Windows 10,,TO BE FILLED BY O.E.M.
PSYC-GID20,Windows 11,Precision 5860 Tower,D5QNRY3
PSYC-GID21,Windows 11,,
psyc-gonzotbl2,Windows 11,Surface Laptop 2,21456384557
PSYC-GT8H3T3,Windows 11,Latitude 5430,GT8H3T3
PSYC-H4SLRQ3,Windows 11,Latitude 5430,H4SLRQ3
PSYC-ISETTLES04,Windows 10,ProDesk 600 G2 SFF,MXL6301FCB
psyc-isettles05,Windows 11,Precision 5820 Tower,JWQV1N3
PSYC-JAHOWE02,Windows 11,EliteBook 840 G5,5CG910291L
PSYC-JBEEHNER04,Windows 10,Latitude 5420,7GQ74J3
PSYC-JBEEHNER05,Windows 10,Latitude 5540,8J5NJS3
PSYC-JDAVIDW02,Windows 11,Latitude 5420,69BV8D3
PSYC-JEBOLAND01,Windows 10,ProDesk 600 G2 SFF,2UA7042211
PSYC-JEBOLAND04,Windows 10,Latitude 5410,JN2YDB3
PSYC-JEBOLAND18,Windows 10,EliteDesk 800 G1 USDT,2UA52725NN
PSYC-JEBOLAND19,Windows 10,EliteDesk 800 G1 USDT,2UA52725NQ
PSYC-JEBOLAND23,Windows 10,Compaq Pro 6300 SFF,2UA31413Y4
PSYC-JJONIDES03,Windows 10,,2UA4230YB6
PSYC-JJONIDES04,Windows 10,,
PSYC-JJONIDES36,Windows 10,EliteDesk 800 G1 USDT,2UA4151733
PSYC-JJONIDES38,Windows 10,EliteDesk 800 G1 USDT,2UA4151734
PSYC-JJONIDES42,Windows 10,ProDesk 600 G3 SFF,MXL81624QP
PSYC-JJONIDES43,Windows 10,Precision 5820 Tower,31NN1G3
PSYC-JJONIDES45,Windows 11,Latitude 5440,HVV2QV3
PSYC-JMATTIS02,Windows 10,ProDesk 600 G1 SFF,2UA5141QLT
PSYC-JMATTIS03,Windows 10,ProDesk 600 G1 SFF,2UA5141QM7
PSYC-JMATTIS05,Windows 10,ProDesk 600 G1 SFF,2UA5141QLR
psyc-jmattis06,Windows 10,ProDesk 600 G1 SFF,2UA5141QM6
PSYC-JMATTIS07,Windows 10,ProDesk 600 G1 SFF,2UA547215P
PSYC-JMMILLER03,Windows 11,Precision 3450 SFF,89MX0M3
psyc-jmost01,Windows 11,,
PSYC-JMSNODGR02,Windows 11,Latitude 5420,F40RBK3
PSYC-JONOVICH03,Windows 10,EliteBook 840 G6,2TK9480WMR
PSYC-JONOVICH04,Windows 11,OptiPlex 7000,4VSFWX3
PSYC-JOSHACK02,Windows 10,ProDesk 600 G1 SFF,2UA4321QCJ
PSYC-JOSHACK03,Windows 11,Latitude 9420,6JHHSQ3
PSYC-JOSHACK09,Windows 10,ProDesk 600 G1 SFF,2UA4511KV8
PSYC-JOSHACK10,Windows 10,ProDesk 600 G1 SFF,2UA4511KV6
PSYC-JOSHACK11,Windows 10,ProDesk 600 G1 SFF,2UA4511KV5
PSYC-JOSHACK13,Windows 10,ProDesk 600 G1 SFF,2UA52720KL
PSYC-JOSHACK15,Windows 10,ProDesk 600 G1 SFF,2UA52720KB
PSYC-JOSHACK17,Windows 11,OptiPlex 7080,1YV2K93
PSYC-JOSHACK18,Windows 11,OptiPlex SFF Plus 7010,9FV5SY3
PSYC-JOSHACK19,Windows 11,OptiPlex SFF Plus 7010,8FV5SY3
PSYC-JOSHACK20,Windows 11,OptiPlex SFF Plus 7010,7FV5SY3
PSYC-JOSHACK21,Windows 11,OptiPlex SFF Plus 7010,6FV5SY3
PSYC-JWAYNEA40,Windows 10,ProDesk 600 G1 Tower,2UA4060K50
PSYC-JWROELOF01,Windows 10,EliteBook Folio 1040 G3,5CD7126FN2
PSYC-KAYFRY02,Windows 10,Latitude 5410,557G163
PSYC-KCOKLEY01,Windows 10,Latitude 5430,8M9MTQ3
PSYC-KEATINGD01,Windows 10,Latitude 5430,439GST3
PSYC-KITAYAMA14,Windows 10,ProDesk 600 G2 SFF,2UA71122D1
PSYC-KITAYAMA18,Windows 10,Precision 5820 Tower,GG05DX3
psyc-kmhouse01,Windows 10,OptiPlex 5090,41QQNF3
PSYC-KOVELMAN25,Windows 11,,
PSYC-KOVELMAN26,Windows 11,,
PSYC-LABENSON01,Windows 11,Latitude 5420,4J5H6J3
PSYC-LEAHRR01,Windows 10,,
PSYC-LEAHRR02,Windows 10,Precision 5550,6KMVYD3
PSYC-LEAHRR03,Windows 10,,
PSYC-LEAHRR04,Windows 10,,
PSYC-LEAHRR05,Windows 11,XPS 15 9530,JQZQBY3
PSYC-LILIA03,Windows 10,OptiPlex 5090,6B2X2L3
psyc-lilia04,Windows 10,Surface Go 3,0B368YY215033F
PSYC-LILIA13,Windows 10,Latitude 5330,4QTWGS3
PSYC-LORRAING02,Windows 10,EliteDesk 800 G1 USDT,2UA4230Y69
PSYC-LUKEHYDE01,Windows 10,ProDesk 600 G1 Tower,2UA4460VQL
PSYC-LUKEHYDE05,Windows 10,EliteDesk 800 G1 USDT,2UA4230Y8N
PSYC-LUKEHYDE06,Windows 10,Compaq Pro 6300 SFF,2UA33117PJ
PSYC-LUKEHYDE09,Windows 10,ProDesk 600 G1 SFF,2UA4071HKF
PSYC-LUKEHYDE11,Windows 10,,
PSYC-LUKEHYDE13,Windows 10,,
PSYC-LUKEHYDE14,Windows 10,ProDesk 600 G2 SFF,2UA7242VNN
PSYC-LUKEHYDE17,Windows 10,,
PSYC-LUKEHYDE18,Windows 10,ProDesk 600 G3 SFF,MXL7312NSH
PSYC-LUKEHYDE20,Windows 10,ProDesk 600 G3 SFF,MXL8051L7C
PSYC-LUKEHYDE24,Windows 10,ProDesk 600 G3 SFF,MXL8281MS6
PSYC-LUKEHYDE26,Windows 10,EliteBook 840 G5,5CG8304JPV
PSYC-LUKEHYDE27,Windows 10,ProDesk 600 G1 SFF,2UA4201ZZY
PSYC-LUKEHYDE32,Windows 10,Latitude 5420,91PH6M3
PSYC-LUKEHYDE33,Windows 11,G16 7620,C7CQ9T3
PSYC-LZAHODNE01,Windows 10,Z640 Workstation,2UA6401SV1
PSYC-LZAHODNE02,Windows 10,Z240 SFF Workstation,2UA7011FG4
PSYC-LZAHODNE03,Windows 10,Z240 SFF Workstation,2UA7011FG5
PSYC-LZAHODNE04,Windows 10,ProDesk 600 G2 SFF,2UA7042225
PSYC-LZAHODNE05,Windows 10,ProDesk 600 G2 SFF,2UA704222C
PSYC-LZAHODNE06,Windows 10,ProDesk 600 G2 SFF,2UA704222D
PSYC-LZAHODNE07,Windows 10,Z240 SFF Workstation,2UA73729WR
PSYC-LZAHODNE08,Windows 10,ProDesk 600 G3 SFF,MXL743122H
PSYC-LZAHODNE09,Windows 10,ProDesk 600 G3 SFF,MXL743122G
PSYC-LZAHODNE10,Windows 10,ProBook 640 G2,5CG817116L
PSYC-LZAHODNE11,Windows 10,ProBook 640 G2,5CG817116J
PSYC-LZAHODNE12,Windows 10,Z240 SFF Workstation,2UA8491KGZ
PSYC-LZAHODNE13,Windows 10,Z240 SFF Workstation,2UA8491KH0
PSYC-LZAHODNE15,Windows 10,,MJ0B7R8V
PSYC-LZAHODNE16,Windows 11,OptiPlex SFF Plus 7010,DS4B2Z3
PSYC-LZAHODNE17,Windows 11,Latitude 5440,GGHXCY3
PSYC-MARI01,Windows 10,,
PSYC-MARI02,Windows 10,Latitude 5430,G5TCKR3
PSYC-MARI03,Windows 10,Latitude 5430,JQBDKR3
PSYC-MARI04,Windows 10,Latitude 5430,1MBDKR3
PSYC-MARI05,Windows 10,Latitude 5430,5FWDKR3
PSYC-MARI06,Windows 10,Latitude 5430,5DWDKR3
PSYC-MARI07,Windows 10,Latitude 5430,CLZCKR3
PSYC-MARIKIRA02,Windows 10,EliteBook 850 G7,5CG02619HQ
PSYC-MDURKEE01,Windows 10,EliteDesk 705 G3 MT,MXL7411DY5
PSYC-MDURKEE02,Windows 10,ProDesk 600 G3 SFF,MXL7351PV5
PSYC-MDURKEE03,Windows 10,ProDesk 600 G3 SFF,MXL7351PV6
PSYC-MDURKEE04,Windows 10,ProDesk 600 G3 SFF,MXL7351PV4
PSYC-MFARQUHA01,Windows 10,Z220 SFF Workstation,2UA3410LWV
PSYC-MILLSPAJ01,Windows 11,Latitude 5410,67BK163
PSYC-MOCKFMRI03,Windows 10,Precision 3450 SFF,BNZ1WM3
PSYC-MSARTER02,Windows 10,Z240 Tower Workstation,2UA813266K
PSYC-MSARTER03,Windows 10,ProDesk 600 G1 SFF,2UA5201Z1P
PSYC-MSARTER06,Windows 10,EliteBook 840 G6,5CG01779DH
PSYC-MSARTER09,Windows 10,ProDesk 600 G2 SFF,2UA6312PP6
PSYC-MSARTER17,Windows 10,Z2 Tower G4 Workstation,2UA9021781
PSYC-MSARTER18,Windows 10,Z2 Tower G4 Workstation,2UA9021782
PSYC-MSARTER29,Windows 10,ProDesk 600 G3 SFF,MXL8321QFN
PSYC-MSARTER34,Windows 10,ProDesk 600 G1 SFF,2UA4201ZZG
PSYC-MSARTER45,Windows 10,Compaq Pro 6300 SFF,2UA31413YG
PSYC-MSARTER51,Windows 10,Z240 Tower Workstation,MXL9091MBW
PSYC-MSARTER52,Windows 10,Z240 Tower Workstation,MXL9091MBT
PSYC-MSARTER53,Windows 10,Surface Laptop 2,21156692357
PSYC-MSARTER55,Windows 10,ProDesk 600 G5 Desktop Mini,MXL0063C6X
PSYC-MSARTER56,Windows 10,EliteBook 840 G6,5CG0108VM7
PSYC-MSARTER57,Windows 10,Elite Dragonfly,5CG0139725
PSYC-MSARTER58,Windows 10,,
PSYC-MSARTER59,Windows 10,OptiPlex 5090,25XXQJ3
PSYC-MSARTER60,Windows 10,,
PSYC-MSARTER61,Windows 10,Precision 3650 Tower,CK50XP3
PSYC-MSARTER62,Windows 10,ProDesk 400 G7 SFF,MXL2114Q8R
PSYC-MSARTER63,Windows 11,Latitude 9430,3LYFSQ3
PSYC-MSARTER64,Windows 11,,
PSYC-MXL8030TLV,Windows 10,ProDesk 600 G3 SFF,MXL8030TLV
PSYC-NAGATA10,Windows 11,OptiPlex 5090,GYGFKQ3
PSYC-NAJIAGR01,Windows 11,Precision 3581,JF1JJX3
PSYC-NESTORL09,Windows 10,Compaq Pro 6300 SFF,2UA3460XYB
PSYC-NESTORL13,Windows 10,Z2 SFF G4 Workstation,MXL9044B07
PSYC-NICOLEPG02,Windows 10,Z4 G4 Workstation,MXL9344BZP
PSYC-NICOLEPG03,Windows 10,Precision 3450 SFF,3J1NNF3
psyc-nicolepg05,Windows 10,OptiPlex 5090,9YZ2RJ3
PSYC-NICOLEPG06,Windows 10,OptiPlex 5090,9W25RN3
PSYC-NICOLEPG07,Windows 10,OptiPlex 5090,1X25RN3
PSYC-NICOLEPG08,Windows 10,OptiPlex 5000,HV9YPR3
PSYC-NICOLPA01,Windows 11,OptiPlex SFF 7010,HJCJNZ3
PSYC-NOLDUS-R01,Windows Server 2019,Precision 3930 Rack Workstation,GV8L333
PSYC-NOLDUS-R02,Windows Server 2019,Precision 3930 Rack Workstation,GV7N333
PSYC-NOLDUS-R03,Windows Server 2019,Precision 3930 Rack Workstation,GV7M333
PSYC-NOLDUS-R04,Windows Server 2019,Precision 3930 Rack Workstation,GV7J333
PSYC-NOLDUS-R05,Windows Server 2019,Precision 3930 Rack Workstation,GV8K333
PSYC-NOLDUS-R06,Windows Server 2019,,
psyc-nspark01,Windows 10,,PF2D1RW9
PSYC-NSPARK03,Windows 10,EliteDesk 800 G1 USDT,2UA4230Y8V
PSYC-NSPARK07,Windows 10,,PF0XCCV1
PSYC-NSPARK08,Windows 11,Z240 SFF Workstation,2UA8441CHH
psyc-nspark09,Windows 10,OptiPlex Tower Plus 7010,3G1KCX3
psyc-ntronson02,Windows 10,Precision 3650 Tower,J68DVD3
PSYC-NTRONSON04,Windows 10,EliteDesk 800 G1 USDT,2UA4230Y7J
PSYC-NTRONSON06,Windows 10,Compaq Pro 6300 SFF,2UA3080C9P
psyc-ntronson15,Windows 10,Z2 Tower G5 Workstation,CZC1508JQZ
PSYC-OJAHMED01,Windows 10,Z440 Workstation,2UA623253K
PSYC-OJAHMED02,Windows 10,Z440 Workstation,2UA623253J
PSYC-OJAHMED04,Windows 10,ProDesk 600 G2 SFF,2UA6232SNT
PSYC-OJAHMED06,Windows 10,Z240 SFF Workstation,2UA6283G7T
PSYC-OJAHMED10,Windows 10,ProDesk 600 G3 MT,MXL735215T
PSYC-OJAHMED12,Windows 10,Precision Tower 5810,3YR7HK2
PSYC-OJAHMED13,Windows 10,Precision Tower 3620,83ZGCP2
PSYC-OJAHMED15,Windows 10,Precision Tower 3620,83ZHCP2
psyc-ojahmed16a,Windows 10,Precision Tower 3620,83ZJCP2
psyc-ojahmed26,Windows 10,,
PSYC-OJAHMED27,Windows 10,OptiPlex 7000,6P5H0R3
PSYC-OJAHMED28,Windows 11,OptiPlex Tower Plus 7010,74LMRY3
psyc-parl05,Windows 10,ProDesk 600 G1 SFF,2UA51127YW
PSYC-PARL09,Windows 7,Compaq Pro 6300 SFF,2UA3270RGK
PSYC-PARL11,Windows 10,ProDesk 600 G2 SFF,2UA70511P4
PSYC-PARL12,Windows 10,Precision 3440 SFF,HM04KD3
PSYC-PARL13,Windows 10,Precision 3440 SFF,HM03KD3
PSYC-PARL14,Windows 10,Precision 3440 SFF,HM05KD3
PSYC-PARL17,Windows 10,ProDesk 600 G2 SFF,2UA704221B
PSYC-PARL18,Windows 10,ProDesk 600 G4 SFF,MXL9143XJM
PSYC-PARL19,Windows 10,ProDesk 600 G4 SFF,MXL915524V
PSYC-PARL20,Windows 10,ProDesk 600 G4 SFF,MXL915527W
PSYC-PARL21,Windows 10,ProDesk 600 G4 SFF,MXL9155284
PSYC-PARL30,Windows 7,ProDesk 600 G1 SFF,2UA44010GM
